car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_km
Maruti Alto,Maruti,Alto,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000,11.695255355062795
Hyundai Grand,Hyundai,Grand,5,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000,9.90353755128617
Hyundai i20,Hyundai,i20,11,60000,Individual,Petrol,Manual,17.0,1197,80.0,5,215000,11.002116507732017
Maruti Alto,Maruti,Alto,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000,10.518700218288165
Ford Ecosport,Ford,Ecosport,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000,10.308985993422082
Maruti Wagon R,Maruti,Wagon R,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000,10.463131911491967
Hyundai i10,Hyundai,i10,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000,10.596659732783579
Maruti Wagon R,Maruti,Wagon R,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000,9.770698741272664
Hyundai Venue,Hyundai,Venue,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,1050000,9.90353755128617
Maruti Swift,Maruti,Swift,4,28321,Dealer,Petrol,Manual,16.6,1197,85.0,5,511000,10.251394166783005
Hyundai Verna,Hyundai,Verna,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000,11.086425670893206
Renault Duster,Renault,Duster,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,750000,10.819798284210286
Maruti Ciaz,Maruti,Ciaz,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000,11.23850177707664
Maruti Swift,Maruti,Swift,5,20000,Individual,Diesel,Manual,25.2,1248,74.0,5,627000,9.90353755128617
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,65000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1425000,11.082157933374816
Maruti Swift,Maruti,Swift,7,62200,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000,11.038126355768453
Toyota Innova,Toyota,Innova,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000,11.608244735642321
Maruti Baleno,Maruti,Baleno,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,9.90353755128617
Maruti Swift Dzire,Maruti,Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000,10.596659732783579
Volkswagen Vento,Volkswagen,Vento,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000,10.757924157061597
Maruti Alto,Maruti,Alto,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000,10.12667110305036
Hyundai Creta,Hyundai,Creta,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000,9.61587214452889
Honda City,Honda,City,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000,10.819798284210286
Mahindra Bolero,Mahindra,Bolero,10,25000,Individual,Diesel,Manual,13.6,2523,63.0,7,350000,10.12667110305036
Maruti Swift Dzire,Maruti,Swift Dzire,6,90000,Individual,Diesel,Manual,26.59,1248,74.0,5,600000,11.407576060361786
Maruti Swift Dzire,Maruti,Swift Dzire,8,45000,Dealer,Diesel,Manual,26.59,1248,74.0,5,390000,10.714439990727769
Honda City,Honda,City,14,77253,Dealer,Petrol,Manual,17.7,1497,78.0,5,145000,11.254853973354733
Hyundai i20,Hyundai,i20,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000,10.12667110305036
Renault KWID,Renault,KWID,4,30000,Individual,Petrol,Manual,23.01,999,67.0,5,340000,10.308985993422082
Honda Amaze,Honda,Amaze,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000,10.596484721844948
Hyundai Santro,Hyundai,Santro,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000,11.289794413577894
Mahindra XUV500,Mahindra,XUV500,9,185000,Individual,Diesel,Manual,15.1,2179,140.0,7,600000,12.128116509451258
Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,380000,11.407576060361786
Hyundai i20,Hyundai,i20,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000,9.61587214452889
Hyundai i20,Hyundai,i20,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000,10.596659732783579
Honda City,Honda,City,6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000,10.347564213938401
Maruti Swift Dzire,Maruti,Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000,10.933124826700707
Maruti Baleno,Maruti,Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000,10.867196078739436
Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,21.0,1498,74.96,7,850000,10.596659732783579
Mahindra KUV100,Mahindra,KUV100,3,17000,Individual,Petrol,Manual,18.15,1198,82.0,5,550000,9.741027444837728
Maruti Baleno,Maruti,Baleno,5,22000,Dealer,Petrol,Manual,15.4,1590,94.0,5,625000,9.99884318585288
Maruti Swift Dzire,Maruti,Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000,10.896757843893464
Maruti Wagon R,Maruti,Wagon R,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000,9.210440366976517
Maruti Ignis,Maruti,Ignis,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000,9.90353755128617
Maruti Wagon R,Maruti,Wagon R,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000,10.882527706063392
Datsun RediGO,Datsun,RediGO,3,27263,Individual,Petrol,Manual,22.5,999,68.0,5,350000,10.213322429629041
Hyundai Verna,Hyundai,Verna,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000,11.608244735642321
Hyundai i20,Hyundai,i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000,11.156264806643742
Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,560000,11.156264806643742
Hyundai i20,Hyundai,i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000,10.571342565808699
Hyundai Santro,Hyundai,Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,125000,10.933124826700707
Hyundai i20,Hyundai,i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,10.434145214930487
Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000,10.819798284210286
Volkswagen Vento,Volkswagen,Vento,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000,11.256754979390998
Mahindra Marazzo,Mahindra,Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,990000,10.491301994830229
Hyundai Verna,Hyundai,Verna,8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000,10.776390501067295
Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000,11.225256725762893
Ford Aspire,Ford,Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000,10.968215530759236
Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000,10.308985993422082
Hyundai Grand,Hyundai,Grand,3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,545000,10.819798284210286
Ford Figo,Ford,Figo,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000,9.857129428557979
Honda Amaze,Honda,Amaze,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000,10.819798284210286
