car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_price,price_per_km,log_km,engine_per_seat
Maruti Alto,Maruti,Alto,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000,11.695255355062795,1.0,11.695255355062795,159.2
Hyundai Grand,Hyundai,Grand,5,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000,13.217675375388819,27.5,9.90353755128617,239.4
Hyundai i20,Hyundai,i20,11,60000,Individual,Petrol,Manual,17.0,1197,80.0,5,215000,12.278397958261774,3.5833333333333335,11.002116507732017,239.4
Maruti Alto,Maruti,Alto,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000,12.328294703023394,6.108108108108108,10.518700218288165,199.6
Ford Ecosport,Ford,Ecosport,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000,13.25339339419516,19.0,10.308985993422082,299.6
Maruti Wagon R,Maruti,Wagon R,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000,12.765691290604371,10.0,10.463131911491967,199.6
Hyundai i10,Hyundai,i10,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000,12.660331092405906,7.875,10.596659732783579,239.4
Maruti Wagon R,Maruti,Wagon R,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000,12.923914877701906,23.412517131110096,9.770698741272664,199.6
Hyundai Venue,Hyundai,Venue,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,1050000,13.864301674514206,52.5,9.90353755128617,199.6
Maruti Swift,Maruti,Swift,4,28321,Dealer,Petrol,Manual,16.6,1197,85.0,5,511000,13.144126826131089,18.043148193919706,10.251394166783005,239.4
Hyundai Verna,Hyundai,Verna,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000,12.959846800844963,6.510616134072735,11.086425670893206,316.4
Renault Duster,Renault,Duster,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,750000,13.527829818844937,15.0,10.819798284210286,292.2
Maruti Ciaz,Maruti,Ciaz,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000,13.384729180332174,8.552631578947368,11.23850177707664,249.6
Maruti Swift,Maruti,Swift,5,20000,Individual,Diesel,Manual,25.2,1248,74.0,5,627000,13.348703414510117,31.35,9.90353755128617,249.6
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,65000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1425000,14.169683073439028,21.923076923076923,11.082157933374816,428.6
Maruti Swift,Maruti,Swift,7,62200,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000,12.959846800844963,6.832797427652733,11.038126355768453,249.6
Toyota Innova,Toyota,Innova,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000,13.312985389904174,5.5,11.608244735642321,311.75
Maruti Baleno,Maruti,Baleno,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,13.304686600863562,30.0,9.90353755128617,239.4
